Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Cap Rate,Vacância Média
ARXD11,Títulos e Val. Mob.,7.35,13.89,16.09,0.79,66232100,156019,0,0.0,0.0
ASMT11,Híbrido,4.19,96.96,0.0,0.4,4530470,24550,3,219.99,0.0
ASRF11,Híbrido,10888.0,-4.55,0.0,1.12,43552000,0,2,0.0,0.0
ATSA11,Shoppings,50.0,5.08,4.4,0.66,87557000,661,1,5.8,16.77
AURB11,Logística,67.0,1.5,0.0,0.92,60200400,105,2,7.11,0.0
AZPL11,Logística,7.23,8.64,10.64,0.74,131656000,572010,1,5.13,0.0
BARI11,Títulos e Val. Mob.,77.11,13.3,13.29,0.84,357342000,583742,3,0.0,0.0
BBFI11,Lajes Corporativas,393.0,83.74,0.0,0.56,51090000,49275,1,124.74,100.0
BBFO11,Títulos e Val. Mob.,62.35,19.05,12.74,0.83,249643000,262592,0,0.0,0.0
BBGO11,Títulos e Val. Mob.,66.04,9.47,13.94,0.71,264501000,256575,0,0.0,0.0
BBIG11,Shoppings,7.05,13.02,14.05,0.75,698803000,973977,1,2.79,1.92
BBPO11,Lajes Corporativas,96.75,10.42,0.0,0.95,1540230000,0,61,13.0,1.44
BBRC11,Outros,99.5,13.08,12.97,0.95,158205000,74776,21,15.85,12.53
BBVJ11,Lajes Corporativas,62.99,2.23,0.0,0.86,197789000,0,1,5.58,43.7
BCFF11,Títulos e Val. Mob.,7.35,8.06,5.72,0.84,1480960000,0,0,0.0,0.0
BCIA11,Títulos e Val. Mob.,84.1,13.02,12.13,0.85,312771000,464379,0,0.0,0.0
BCRI11,Títulos e Val. Mob.,67.3,13.17,14.02,0.78,421155000,388725,0,0.0,0.0
BGRB11,Lajes Corporativas,100.5,3.25,2.89,1.08,165888000,94309,1,2.48,0.0
BICE11,Títulos e Val. Mob.,900.0,7.61,8.09,0.86,120073000,21164,0,0.0,0.0
BICR11,Títulos e Val. Mob.,35.92,14.26,6.42,0.86,17960000,0,0,0.0,0.0
BIME11,Híbrido,6.99,13.85,14.83,0.83,40860800,67061,1,0.0,0.0
BIPD11,Títulos e Val. Mob.,988.17,-2.39,0.0,1.0,109133000,0,2,0.0,0.0
BLCA11,Lajes Corporativas,89.0,7.27,6.76,0.68,142400000,510540,1,8.8,0.0
BLCP11,Logística,91.0,5.41,0.0,0.81,208962000,0,2,6.63,0.0
BLMC11,Títulos e Val. Mob.,85.75,11.1,0.0,0.91,34257100,0,0,0.0,0.0
BLMG11,Outros,38.01,12.58,10.68,0.54,162257000,995340,2,34.83,58.43
BLMO11,Lajes Corporativas,80.0,6.84,7.07,0.76,79585100,16454,1,8.99,0.0
BLMR11,Títulos e Val. Mob.,6.78,10.17,0.0,0.84,173172000,0,0,0.0,0.0
BLOG11,Títulos e Val. Mob.,10.91,2.47,3.28,0.97,335992000,299,6,4.26,10.19
BLUR11,Títulos e Val. Mob.,76.03,10.06,9.53,0.99,6842700,2155,0,0.0,0.0
BMLC11,Híbrido,97.15,8.77,8.7,0.92,96995000,48741,1,9.04,2.14
BNFS11,Outros,70.32,21.38,19.76,0.9,49224000,138905,18,25.2,0.44
BPFF11,Outros,59.7,17.39,12.33,0.84,268192000,256070,0,0.0,0.0
BPML11,Híbrido,80.6,12.23,15.71,0.62,599805000,916978,4,16.04,7.37
BPRP11,Outros,107.5,10.56,3.41,0.86,145107000,0,1,11.11,0.0
BRCO11,Logística,108.01,7.62,9.58,0.91,1717910000,3423580,12,9.04,4.41
BRCR11,Híbrido,42.5,11.54,13.35,0.49,1132120000,1380500,6,15.1,1.17
BREV11,Híbrido,105.0,6.59,0.0,0.0,101556000,0,13,0.0,0.0
BRIM11,Residencial,555.0,-2.19,23.08,1.22,68896000,24001,1,0.0,0.0
BRIP11,Híbrido,898.99,-3.8,32.36,1.25,193710000,38313,0,0.0,0.0
BRLA11,Outros,148.0,7.73,5.33,0.89,724795000,0,10,7.96,0.0
BROF11,Híbrido,51.8,11.27,11.69,0.47,601440000,766788,2,15.55,5.24
BTAL11,Outros,79.99,19.78,12.52,0.72,478559000,526347,9,13.03,0.0
BTCI11,Títulos e Val. Mob.,8.92,12.36,12.39,0.88,887729000,1605380,0,0.0,0.0
BTCR11,Títulos e Val. Mob.,88.0,12.48,0.0,0.92,423289000,0,0,0.0,0.0
BTHF11,Híbrido,8.56,7.19,7.61,0.84,1762050000,4021410,0,0.0,0.0
BTHI11,Hotel,40.91,9.97,10.36,0.59,377129000,31812,14,11.47,0.0
BTLG11,Híbrido,100.92,8.62,9.23,0.97,4364700000,6794500,27,6.39,3.39
BTML11,Híbrido,111.28,9.1,10.03,0.97,126321000,0,2,9.49,9.7
BTRA11,Outros,55.0,5.96,7.04,0.49,185051000,204782,6,11.36,24.97
BTSG11,Logística,159.05,8.83,7.33,1.05,123266000,0,1,9.6,0.0
BTSI11,Híbrido,111.6,5.02,8.1,0.95,606590000,1206,6,6.49,0.0
BTWR11,Lajes Corporativas,103.22,7.07,6.98,0.9,83532800,5,1,10.65,8.0
BTYU11,Híbrido,10.25,13.25,14.67,0.99,307500000,2561,1,0.0,0.0
BVAR11,Outros,1392.8,3.48,6.0,1.75,871252000,33,46,3.86,22.21
CACR11,Híbrido,98.12,14.85,16.16,1.02,474540000,1137120,0,0.0,0.0
CARE11,Híbrido,1.19,-9.44,0.0,0.17,42566200,41436,1,0.0,0.0
CBOP11,Lajes Corporativas,26.85,2.62,3.86,0.4,37992800,69364,1,13.5,41.6
CCME11,,8.83,10.5,10.91,0.85,598648000,186658,2,9.31,36.74
CCRF11,Títulos e Val. Mob.,92.5,7.16,0.0,0.95,145401000,0,0,0.0,0.0
CCVA11,Híbrido,100.07,6.23,4.47,1.02,61793200,0,1,7.79,2.6
CEOC11,Lajes Corporativas,41.13,12.97,13.04,0.56,74679600,27786,1,15.54,0.0
CFHI11,Outros,626.2,2.55,6.67,1.23,59238500,0,8,0.0,0.0
CFII11,Híbrido,863.66,4.74,21.34,0.72,109097000,21,8,4.61,0.0
CJCT11,Lajes Corporativas,58.0,2.44,2.97,0.79,182120000,97012,1,6.09,36.4
CLIN11,Títulos e Val. Mob.,89.5,12.43,13.51,0.92,389035000,1169020,0,0.0,0.0
CNES11,Lajes Corporativas,0.99,8.93,8.63,0.13,33793500,42131,1,34.31,59.4
COPP11,Híbrido,103.0,4.99,0.0,0.94,290462000,0,3,4.63,18.0
CORM11,Híbrido,81.0,4.57,0.0,0.85,87581800,0,3,10.5,0.0
CPFF11,Títulos e Val. Mob.,69.9,18.07,6.91,0.95,75470800,0,0,0.0,0.0
CPLG11,Logística,11.7,0.3,6.52,1.2,416258000,3506020,1,0.54,0.0
CPOF11,Híbrido,108.51,3.65,8.13,0.98,481684000,3369970,7,7.09,99.97
CPSH11,Shoppings,9.7,5.82,12.34,0.82,773088000,2427640,7,7.46,0.0
CPTR11,Títulos e Val. Mob.,7.14,17.98,11.84,0.73,295454000,1021710,0,0.0,0.0
CPTS11,Títulos e Val. Mob.,7.24,8.61,12.73,0.82,2301080000,8170610,0,0.0,0.0
CPUR11,Híbrido,10.35,7.08,9.9,1.05,645541000,11714100,11,5.78,0.51
CRAA11,Títulos e Val. Mob.,93.61,8.62,13.6,0.92,221840000,701076,0,0.0,0.0
CRFF11,Títulos e Val. Mob.,72.79,10.23,10.01,0.89,50228000,155195,0,0.0,0.0
CTXT11,Lajes Corporativas,5.67,-23.04,0.0,0.23,22234500,2187,1,0.35,100.0
CVBI11,Títulos e Val. Mob.,82.0,14.03,13.96,0.89,902839000,1993660,0,0.0,0.0
CXAG11,Outros,72.5,12.19,12.41,0.63,151570000,126976,32,13.56,0.0
CXCE11,Lajes Corporativas,39.09,13.87,13.15,0.62,66959200,15680,1,15.3,0.0
CXCI11,Títulos e Val. Mob.,67.82,13.75,13.15,0.8,139555000,85343,0,0.0,0.0
CXCO11,Lajes Corporativas,57.01,14.49,13.53,0.59,223736000,108981,10,17.0,0.0
CXRI11,Títulos e Val. Mob.,64.37,11.08,10.9,0.79,101432000,11680,0,0.0,0.0
CXTL11,Logística,222.13,11.42,10.91,0.53,11905500,4586,1,20.92,0.0
DAMA11,Títulos e Val. Mob.,7.2,11.05,13.64,0.85,39866600,131374,0,0.0,0.0
DAMT11,Shoppings,13.0,0.83,0.0,0.9,231137000,212,2,11.6,9.48
DCRA11,,7.43,19.07,15.92,0.77,50070100,78707,0,0.0,0.0
DEVA11,Títulos e Val. Mob.,31.85,16.72,16.31,0.33,447330000,558897,0,0.0,0.0
DMAC11,Residencial,13.0,-758.5,0.0,2.61,2029400,0,0,0.0,0.0
DOMC11,Híbrido,439.0,0.78,0.0,4.13,1072830000,0,2,1.43,13.3
DOVL11,Lajes Corporativas,650.35,13.17,13.42,0.98,43187100,15,2,23.51,36.0
DPRO11,,6.4,10.63,10.33,0.7,32020600,1022,1,12.86,0.0
DRIT11,Lajes Corporativas,8.68,69.7,11.02,0.6,4021240,770,5,118.67,0.0
DVFF11,,6.36,9.93,12.75,0.77,70020400,12451,0,0.0,0.0
EDFO11,Lajes Corporativas,116.99,15.84,14.05,0.55,27609600,8845,1,18.92,100.05
EDGA11,Lajes Corporativas,16.22,2.73,5.7,0.35,61831500,8573,1,11.19,23.55
EGAF11,Títulos e Val. Mob.,91.62,13.82,15.79,0.93,286946000,761649,0,0.0,0.0
ELDO11B,Shoppings,1104.31,10.62,3.37,0.66,869375000,0,1,12.47,0.36
EQIN11,Títulos e Val. Mob.,7.29,14.82,10.96,0.81,122098000,0,0,0.0,0.0
EQIR11,Títulos e Val. Mob.,7.85,12.68,14.59,0.82,85638100,178513,0,0.0,0.0
ERCR11,Híbrido,76000.0,0.01,0.0,3.64,180576000,0,0,0.0,0.0
ERPA11,Lajes Corporativas,129.0,5.67,7.95,0.81,64618900,95546,1,6.57,0.0
EURO11,Logística,222.0,10.71,10.21,0.67,85233800,28816,7,11.83,0.0
EVBI11,Híbrido,9.5,4.93,5.59,0.97,546231000,0,11,5.23,0.49
EXES11,Títulos e Val. Mob.,9.45,12.59,14.36,0.97,67146400,11423,0,0.0,0.0
FAED11,Outros,142.99,13.39,13.36,0.64,99003000,65879,4,14.27,0.0
FAMB11,Lajes Corporativas,741.15,170.11,51.75,0.4,90819000,46586,1,3.97,98.02
FATN11,Híbrido,76.0,9.97,11.73,0.77,333890000,1029020,56,9.45,4.54
FCFL11,Outros,128.86,8.07,7.93,1.05,447661000,390400,1,8.41,0.0
FEXC11,Títulos e Val. Mob.,83.5,1.31,0.0,8.44,8310020000,0,0,0.0,0.0
FFCI11,Lajes Corporativas,182.03,3.63,0.0,0.9,671817000,0,9,7.12,6.49
FGAA11,Híbrido,8.56,14.4,18.45,0.9,385897000,1035340,0,0.0,0.0
FIGS11,Shoppings,44.55,11.96,11.65,0.59,126968000,141402,2,12.62,7.01
FIIB11,Híbrido,504.95,8.79,9.6,1.06,345891000,158470,11,9.84,0.0
FIIP11,Híbrido,154.33,11.47,10.89,0.78,143089000,250222,7,13.0,0.0
FISC11,Lajes Corporativas,67.0,7.8,8.56,0.59,113900000,1294,4,9.96,0.0
FISD11,Títulos e Val. Mob.,203.32,-21.06,0.0,3.41,218079000,0,1,0.0,0.0
FIXX11,Títulos e Val. Mob.,99.44,6.5,0.0,1.64,372822000,7306,0,0.0,0.0
FLCR11,Títulos e Val. Mob.,96.26,15.07,14.41,1.01,72372500,50666,0,0.0,0.0
FLFL11,Híbrido,100.0,4.46,0.0,0.72,345426000,0,1,8.15,10.0
FLMA11,Híbrido,131.28,9.97,9.68,0.59,181254000,94264,2,12.35,0.0
FLRP11,Shoppings,20.64,839.59,7.79,0.1,1496400,13924,1,909.4,1.21
FMOF11,Lajes Corporativas,71.9,2.92,4.41,0.62,36525800,2411,2,7.97,0.0
FPAB11,Lajes Corporativas,189.99,7.14,7.4,0.54,142492000,647872,2,9.92,19.0
FPNG11,Lajes Corporativas,342.49,1.39,0.0,1.97,894569000,71,8,2.55,1.92
FRBR11,Títulos e Val. Mob.,103.71,9.23,0.0,1.08,1324330000,0,0,0.0,0.0
FTCA11,Títulos e Val. Mob.,8.13,19.51,15.43,0.77,36259400,68325,0,0.0,0.0
FTCE11,Híbrido,2841.75,-0.3,2.88,1.0,3606230000,472069,79,2.36,0.01
FVBI11,Lajes Corporativas,159.71,0.0,0.0,0.0,0,0,1,0.0,0.0
FVPQ11,Shoppings,69.99,9.01,8.24,0.4,195982000,119133,1,23.11,12.4
FYTO11,Títulos e Val. Mob.,8.04,14.73,3.77,0.82,122862000,134180,0,0.0,0.0
FZDA11,Outros,118.31,0.74,3.35,0.68,183380000,1295,6,1.64,0.0
FZDB11,Outros,131.14,2.98,3.11,0.78,472104000,19,20,3.67,0.0
GALG11,,9.08,7.99,0.0,0.98,1338920000,0,4,8.44,0.0
GAME11,Outros,8.52,26.95,12.83,0.9,184864000,126464,0,0.0,0.0
GARE11,,8.66,8.19,11.9,0.96,1276990000,5747150,4,11.6,0.0
GCFF11,Títulos e Val. Mob.,69.3,12.04,0.0,0.89,24981100,0,0,0.0,0.0
GCOI11,Híbrido,98.9,-3.35,0.0,1.02,11175700,330,5,0.0,0.0
GCRA11,Títulos e Val. Mob.,51.0,14.25,14.93,0.59,89294100,138486,0,0.0,0.0
GCRI11,Títulos e Val. Mob.,63.1,14.77,15.96,0.7,91738500,218944,1,0.0,0.0
GESE11B,Outros,1520.0,11.39,0.0,1.36,79040000,0,1,0.0,0.0
GGRC11,Logística,10.04,10.15,11.49,0.89,1232580000,3694400,26,9.03,0.0
GLCR11,Híbrido,101.28,0.0,0.0,0.99,26288500,4326,0,0.0,0.0
GLOG11,Logística,58.95,15.57,9.34,0.54,44212500,15673,1,20.49,0.0
GLPF11,Logística,104.51,1.45,3.25,1.04,157288000,25159,0,0.0,0.0
GRLV11,Logística,145.5,5.72,0.0,24.38,156199000,0,1,0.0,3.69
GRUL11,Logística,8.12,11.0,10.8,0.85,200564000,425089,1,8.76,0.0
GRWA11,Títulos e Val. Mob.,8.0,10.86,14.15,0.8,22067900,13846,0,0.0,0.0
GSFI11,Shoppings,8.1,0.0,0.0,0.62,778464000,2791730,0,0.0,0.0
GTLG11,Logística,63.99,13.75,0.0,0.7,459000000,0,5,11.72,1.69
GTWR11,Lajes Corporativas,75.53,13.3,12.77,0.76,906360000,930525,3,14.18,0.0
GURB11,Híbrido,108.0,10.46,0.0,0.94,122597000,0,2,10.9,9.7
GWIR11,Shoppings,175.99,2.8,0.0,0.74,67231200,0,0,4.21,0.0
GZIT11,Híbrido,46.23,10.19,19.89,0.51,1009720000,482663,6,12.95,2.36
HAAA11,Lajes Corporativas,45.99,3.33,3.37,0.62,158895000,621,2,7.76,9.65
HABT11,Títulos e Val. Mob.,81.36,13.49,16.49,0.86,661195000,805879,0,0.0,0.0
HBCR11,Lajes Corporativas,138.0,7.28,17.24,1.12,220800000,644029,2,19.07,0.0
HBRH11,Híbrido,90.8,4.63,0.0,0.81,256345000,0,5,7.27,2.83
HBTT11,Títulos e Val. Mob.,1055.0,6.53,0.0,1.19,190126000,0,0,0.0,0.0
HCHG11,Outros,78.84,7.44,12.58,0.83,94608000,470753,0,0.0,0.0
HCRI11,Hospital,264.71,11.8,11.67,0.81,52942000,25515,1,12.8,0.0
HCTR11,Títulos e Val. Mob.,22.5,19.99,20.0,0.22,496895000,881684,0,0.0,0.0
HDEL11,Logística,100.01,24.19,30.45,0.81,84008400,5,1,10.89,0.0
HFOF11,Títulos e Val. Mob.,5.88,109.07,11.77,0.8,135510000,1446100,0,0.0,0.0
HGAG11,Outros,15.64,6.42,11.06,0.64,3882660,604,0,0.0,0.0
HGBL11,Logística,8.4,8.94,16.16,0.93,211138000,87841,1,14.58,0.0
HGBS11,Shoppings,19.41,79.47,9.88,0.9,250647000,2457160,16,93.5,4.96
HGCR11,Títulos e Val. Mob.,92.0,12.82,12.79,0.95,1418470000,2750770,0,0.0,0.0
HGFF11,Títulos e Val. Mob.,69.8,12.67,12.68,0.85,199879000,291244,0,0.0,0.0
HGIC11,Títulos e Val. Mob.,69.11,5.99,15.57,0.63,31977600,19061,2,0.0,0.0
HGJH11,Lajes Corporativas,191.29,9.55,0.0,0.55,335342000,0,2,10.59,3.42
HGLG11,Logística,157.49,7.4,8.32,0.97,5321210000,6235790,27,8.0,4.6
HGPO11,Lajes Corporativas,133.7,4.52,19.25,0.97,234384000,212850,0,0.0,0.0
HGRE11,Lajes Corporativas,113.61,6.79,9.1,0.74,1342620000,1622620,13,9.88,23.67
HGRU11,Híbrido,124.18,8.57,9.56,0.99,2885700000,3756930,104,7.28,0.82
HILG11,Outros,198.61,9.02,7.91,0.98,104519000,0,1,11.04,0.0
HLOG11,Logística,8.22,57.29,7.45,0.7,34935000,72438,4,104.4,2.96
HMOC11,Shoppings,226.95,2.17,0.0,0.95,86698800,0,0,3.27,0.0
HOFC11,Lajes Corporativas,29.4,0.27,1.42,0.45,111103000,154230,3,16.65,49.8
HOSI11,Híbrido,83.7,8.29,9.21,0.92,47997800,6723,2,0.0,0.0
HPDP11,Shoppings,90.37,7.4,7.19,0.97,297137000,491015,1,7.75,16.81
HRDF11,Híbrido,3.0,-0.46,0.0,0.41,4552280,739,0,0.0,0.0
HREC11,Títulos e Val. Mob.,8.15,11.56,12.26,0.93,421240000,323363,0,0.0,0.0
HRES11,Híbrido,149.25,14.91,16.05,1.16,69885100,0,0,0.0,0.0
HSAF11,Títulos e Val. Mob.,80.75,13.75,13.27,0.91,204004000,371234,0,0.0,0.0
HSLG11,Logística,81.73,10.9,10.22,0.79,1034710000,510701,5,10.94,0.0
HSML11,Shoppings,84.47,8.2,10.38,0.78,1757700000,2041900,13,11.27,3.11
HSRE11,Híbrido,102.0,6.47,9.89,1.12,907670000,753550,24,8.34,0.0
HTMX11,Hotel,142.0,4.37,15.32,0.98,410109000,802554,22,5.27,0.0
HUCG11,Hospital,116.0,-0.51,0.0,1.13,130152000,545,2,0.0,0.0
HUSC11,Outros,94.05,11.83,11.21,0.63,80019700,6038,1,14.42,0.0
HUSI11,Hospital,1240.0,8.3,8.19,0.99,144289000,30,1,8.97,0.0
IAAG11,Títulos e Val. Mob.,7.23,13.35,16.15,0.74,75583700,156004,0,0.0,0.0
IAGR11,Outros,3.92,0.19,2.64,0.62,10967900,25916,0,0.0,0.0
IBBP11,Outros,8.06,9.12,5.27,0.9,246062000,14118,24,11.55,0.21
IBCR11,Títulos e Val. Mob.,57.59,10.79,17.34,0.62,55195600,141205,0,0.0,0.0
IBFF11,Títulos e Val. Mob.,66.4,8.28,0.0,0.93,44267600,0,0,0.0,0.0
ICRI11,Títulos e Val. Mob.,94.4,10.03,14.03,0.94,364135000,894006,0,0.0,0.0
IDFI11,Títulos e Val. Mob.,2.0,16.41,277.77,0.46,4115850,0,2,0.0,0.0
IDGR11,Híbrido,1.5,-15.05,134.66,0.0,1325040,0,0,0.0,0.0
IFID11,Títulos e Val. Mob.,80.06,7.66,0.0,1.25,59897000,0,0,0.0,0.0
IFIE11,Títulos e Val. Mob.,71.98,12.86,0.0,1.04,64817600,0,0,0.0,0.0
INLG11,Logística,70.8,13.18,12.77,0.71,319457000,205843,5,14.12,0.84
INRD11,Residencial,73.65,12.23,9.8,0.63,83276500,52682,5,17.12,1.18
IRDM11,Títulos e Val. Mob.,67.12,14.44,13.76,0.81,2445440000,2666330,0,0.0,0.0
IRIM11,Híbrido,67.38,15.19,14.5,0.78,129370000,24685,1,0.0,0.0
ISCJ11,Títulos e Val. Mob.,96.19,9.44,8.57,0.4,18050100,82,0,0.0,0.0
ITIP11,Títulos e Val. Mob.,64.02,6.07,12.98,0.92,47896600,69426,0,0.0,0.0
ITIT11,Títulos e Val. Mob.,67.93,13.59,10.71,0.89,61170600,111989,0,0.0,0.0
ITRI11,Híbrido,78.42,11.46,12.15,0.85,490125000,839556,0,0.0,0.0
JASC11,Híbrido,103.25,7.16,7.19,0.91,360275000,1648,16,8.91,1.3
JBFO11,Títulos e Val. Mob.,82.01,9.02,0.0,1.04,104897000,0,0,0.0,0.0
JCCJ11,Títulos e Val. Mob.,159.5,3.45,3.52,0.84,266127000,947176,0,0.0,0.0
JCIN11,Títulos e Val. Mob.,150.0,4.78,4.3,0.96,197658000,1934280,0,0.0,0.0
JFLL11,Residencial,69.2,19.15,9.62,0.64,103841000,54820,2,23.17,9.0
JGPX11,Híbrido,65.5,18.66,13.23,0.69,140252000,207401,0,0.0,0.0
JPPA11,Híbrido,78.97,15.84,15.87,0.82,71392800,108702,0,0.0,0.0
JPPC11,Híbrido,128.89,-5.4,7.4,0.62,7088950,8628,0,0.0,0.0
JRDM11,Shoppings,85.9,7.97,0.0,0.96,216723000,0,1,9.08,1.19
JSAF11,Títulos e Val. Mob.,7.6,12.67,14.43,0.85,589177000,1657630,0,0.0,0.0
JSCR11,Títulos e Val. Mob.,8.35,9.4,11.06,0.89,184845000,337246,0,0.0,0.0
JSRE11,Híbrido,62.52,9.7,9.14,0.61,1298370000,1844140,6,10.25,2.98
KCRE11,Títulos e Val. Mob.,8.91,12.97,12.97,0.94,320760000,340297,0,0.0,0.0
KDOL11,Títulos e Val. Mob.,96.0,-0.4,3.95,0.93,64414300,151353,0,0.0,0.0
KEVE11,Residencial,830.0,10.15,21.61,1.49,122592000,45580,1,0.0,0.0
KFEN11,Outros,1100.0,3.38,5.25,1.15,196516000,262,0,0.0,0.0
KFOF11,Títulos e Val. Mob.,80.29,11.26,11.1,0.92,563199000,1132680,0,0.0,0.0
KINP11,Residencial,9.82,0.0,0.0,0.0,0,0,1,0.0,0.0
KISU11,Títulos e Val. Mob.,6.85,12.08,12.04,0.84,302743000,622134,0,0.0,0.0
KIVO11,Títulos e Val. Mob.,66.29,17.39,16.76,0.78,147345000,469400,0,0.0,0.0
KNCA11,Títulos e Val. Mob.,94.91,11.66,13.35,0.92,2050050000,2657800,0,0.0,0.0
KNCR11,Títulos e Val. Mob.,102.7,9.13,11.9,1.01,7857550000,11153800,0,0.0,0.0
KNHF11,Híbrido,89.52,12.09,12.1,0.91,1760250000,3012960,3,5.9,1.66
KNHY11,Títulos e Val. Mob.,100.96,11.49,13.34,1.02,2843990000,2668710,0,0.0,0.0
KNIP11,Títulos e Val. Mob.,90.3,12.48,12.12,0.98,7231060000,5744100,0,0.0,0.0
KNRE11,Residencial,0.26,-2.62,0.0,0.39,4822260,3107,0,0.0,0.0
KNRI11,Híbrido,144.07,8.0,8.27,0.89,4063360000,6366230,20,7.61,0.11
KNSC11,Títulos e Val. Mob.,8.79,8.35,12.48,1.0,1777360000,4949670,0,0.0,0.0
KNUQ11,Títulos e Val. Mob.,104.55,10.26,12.69,1.03,1600920000,2578050,0,0.0,0.0
KOPA11,Títulos e Val. Mob.,942.51,12.57,19.41,0.94,334287000,282154,0,0.0,0.0
KORE11,Títulos e Val. Mob.,80.91,18.48,18.25,0.76,778759000,1968270,4,13.82,2.34
LAFI11,Híbrido,113.31,8.32,11.67,0.99,64330800,277815,2,9.4,0.0
LASC11,Shoppings,99.99,9.31,8.97,0.7,294000000,200233,2,10.08,2.4
LATR11B,Residencial,9.51,-16.36,0.0,0.9,1180230,0,0,0.0,0.0
LFTT11,Outros,8.15,-8.63,0.0,0.55,26609800,37919,51,0.0,99.33
LGCP11,Logística,82.95,11.25,5.21,0.82,374279000,0,5,12.11,0.84
LIFE11,Outros,8.62,12.13,18.2,0.87,326709000,727920,0,0.0,0.0
LLAO11,Híbrido,57.2,-8.83,0.0,1.09,20657200,1,13,0.0,0.0
LOFT11B,Outros,29.9,-1.6,0.0,28.01,58678800,0,2,0.13,100.0
LPLP11,Residencial,450.0,14.26,35.74,1.14,261230000,20,0,0.0,0.0
LRDI11,Híbrido,86.48,-0.41,0.0,1.05,31978500,2,0,0.0,0.0
LSAG11,Títulos e Val. Mob.,76.9,15.98,15.06,0.78,77617800,48093,0,0.0,0.0
LSPA11,Outros,24.01,175.2,34.24,1.15,9712040,0,0,0.0,0.0
LTMT11,Residencial,95.21,5.21,8.03,1.0,11897400,0,0,0.0,0.0
LUGG11,Residencial,72.82,11.94,4.76,0.62,82338000,0,5,16.89,3.31
LVBI11,Logística,100.27,9.56,9.82,0.8,1616210000,2403150,10,10.52,7.93
MALL11,Híbrido,100.44,14.16,9.61,0.83,1404360000,2951560,11,16.24,3.64
MANA11,Títulos e Val. Mob.,8.52,8.5,14.48,0.92,319808000,1300230,0,0.0,0.0
MATV11,Títulos e Val. Mob.,86.63,11.42,0.0,0.92,36901600,0,0,0.0,0.0
MAXR11,Híbrido,64.03,7.96,28.54,0.61,72075700,56234,7,9.96,24.55
MBRF11,Outros,679.0,4.63,0.0,0.98,69029900,0,2,3.66,81.98
MCCI11,Títulos e Val. Mob.,85.02,11.26,11.75,0.9,1441940000,3366570,0,0.0,0.0
MCEM11,Títulos e Val. Mob.,65.28,-0.32,0.73,1.97,188641000,207389,0,0.0,0.0
MCHF11,Títulos e Val. Mob.,9.05,11.76,0.0,0.87,292806000,0,3,0.0,0.0
MCHY11,Títulos e Val. Mob.,8.58,11.16,9.79,0.86,957519000,0,1,3.35,35.85
MCLO11,Híbrido,10.23,2.15,4.34,1.02,1275100000,1609220,4,1.7,0.0
MCRE11,Títulos e Val. Mob.,8.58,12.6,14.49,0.84,957519000,3275270,1,5.13,35.85
MFAI11,Híbrido,69.98,0.0,2.46,0.0,0,0,0,0.0,0.0
MFCR11,Híbrido,24.6,0.0,15.81,0.0,0,0,0,0.0,0.0
MFII11,Híbrido,81.32,4.08,16.71,0.78,484862000,875559,3,0.0,0.0
